시설물명,시설물구분,시설물종류,준공일,종별,위치,차기점검진단일,등급,최종점검진단일
정부과천청사역,건축물,철도역시설,19891229,2종,경기도 과천시 중앙로,20181231,A등급,20141231
인덕원역,건축물,철도역시설,19940331,2종,경기도 안양시 동안구 관양2동,20181231,A등급,20141231
대구도시철도 3-019(공단) 역사,건축물,철도역시설,20141231,2종,대구광역시 서구 비산동,20181231,양호,20170521
대구도시철도 3-020(만평) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 노원동3가,20181231,양호,20170521
주엽역사,건축물,철도역시설,19950205,2종,경기도 고양시 일산서구 중앙로,20200417,B등급,20170417
야탑역사,건축물,철도역시설,19940901,2종,경기도 성남시 분당구 야탑동,20181230,A등급,20141230
이매역사,건축물,철도역시설,20010116,2종,경기도 성남시 분당구 이매동,20171230,B등급,20141230
수원시청역사,건축물,철도역시설,20131231,2종,경기도 수원시 팔달구 인계동,20171231,양호,20170510
대구도시철도 3-021(팔달시장) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 노원동3가,20181231,양호,20170521
회룡(통합)역사,건축물,철도역시설,20141127,2종,경기도 의정부시 호원동,20181127,양호,20170518
대구도시철도 3-015(태전) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 태전동,20181231,양호,20170521
대구도시철도 3-024(달성공원) 역사,건축물,철도역시설,20141231,2종,대구광역시 중구 수창동,20181231,양호,20170521
대구도시철도 3-022(원대) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 노원동3가,20181231,양호,20170521
대구도시철도 3-018(팔달) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 팔달동,20181231,양호,20170521
대구도시철도 3-014(구암) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 태전동,20181231,양호,20170521
대구도시철도 3-038(용지) 역사,건축물,철도역시설,20141231,2종,대구광역시 수성구 범물동,20181231,양호,20170521
평촌역,건축물,철도역시설,19930706,2종,경기도 안양시 동안구 시민대로,20181231,A등급,20141231
매교역사,건축물,철도역시설,20131231,2종,경기도 수원시 팔달구 매교동,20171231,양호,20170510
청명역사,건축물,철도역시설,20131231,2종,경기도 수원시 영통구 영통동,20171231,양호,20170510
미금역사,건축물,철도역시설,19940901,2종,경기도 성남시 분당구 구미동,20171230,B등급,20141230
선릉역사,건축물,철도역시설,20030903,2종,서울특별시 강남구 삼성동,20181230,A등급,20141230
태평역사,건축물,철도역시설,19960901,2종,경기도 성남시 수정구 수진동,20171230,B등급,20141230
수내역사,건축물,철도역시설,19940901,2종,경기도 성남시 분당구 수내동,20171230,B등급,20141230
오리역사,건축물,철도역시설,19940901,2종,경기도 성남시 분당구 구미동,20171230,B등급,20141230
한티역사,건축물,철도역시설,20030903,2종,서울특별시 강남구 대치동,20171230,B등급,20141230
수원지하역사,건축물,철도역시설,20131106,2종,경기도 수원시 팔달구 매산로1가,20171106,보통,20170612
도시형 자기부상열차 장기주차장역,건축물,철도역시설,20160203,2종,인천광역시 중구 운서동,20200203,양호,20170619
도시형 자기부상열차 워터파크역,건축물,철도역시설,20160203,2종,인천광역시 중구 운서동,20200203,양호,20170619
보정역사,건축물,철도역시설,20130531,2종,경기도 용인시 기흥구 용구대로,20200531,B등급,20170531
신갈역사,건축물,철도역시설,20130531,2종,경기도 용인시 기흥구 기흥로,20200531,B등급,20170531
서울지하철 9호선 916공구(봉은사역),건축물,철도역시설,20151231,2종,서울특별시 강남구 봉은사로,20191231,양호,20170527
별내역사,건축물,철도역시설,20130331,2종,경기도 남양주시 경춘북로,20200531,B등급,20170531
도시형 자기부상열차 용유역,건축물,철도역시설,20160203,2종,인천광역시 중구 운서동,20200203,양호,20170619
1호선 096 다대포항 역사,건축물,철도역시설,20161231,2종,부산광역시 사하구 다대로,20201231,양호,20170705
1호선 099 장림 역사,건축물,철도역시설,20161231,2종,부산광역시 사하구 다대로,20201231,양호,20170710
공주역사,건축물,철도역시설,20160115,2종,충청남도 공주시 이인면 신영리,20200115,양호,20161028
1호선 098 신장림 역사,건축물,철도역시설,20161231,2종,부산광역시 사하구 다대로,20201231,양호,20170707
1호선 100 동매 역사,건축물,철도역시설,20161231,2종,부산광역시 사하구 신산로,20201231,양호,20170623
